Course Number,Description,Instructor,Terms Offered,Prerequisites,Equivalent Courses
MENG 23140,"This course focuses on the biological and chemical interactions that are important for the diagnosis of diseases and the design of new assays. The principles and mechanisms of molecular diagnostics and biosensors, as well as their applications in disease diagnosis, will be discussed. Bioanalytical methods including electrochemical, optical, chemical separation, and spectroscopic will be described. Surface functionalization and biomolecular interactions will be presented for the development of protein and DNA based biosensor applications. The goals for the course are to introduce the fundamental mechanisms of bioanalytical methods/tools, examples of specific methods for diagnostic purposes, and analytical methods necessary for developing new precision medicine tools.",Mustafa Guler,Spring,Completion of the first two quarters of a Biological Sciences Fundamentals Sequence,
MENG 23150,"This course focuses on the applications of nanotechnology in medicine. The chemical, physical and biological features of the nanomaterials will be discussed for applications in medicine. A survey of concepts in therapeutic drug delivery methods, diagnostic imaging agents and cell-materials interactions will be discussed.",Mustafa Guler,Winter,Completion of the first two quarters of a Biological Sciences Fundamentals Sequence.,
MENG 23200,"In this course students will gain a comprehensive understanding of the essential principles of immunology.  The course will introduce the concept of innate immunity and pattern recognition and how antigen is processed for presentation to the immune system.  We will examine how antigen presentation links innate and adaptive immunity.  We will then discuss the two arms of adaptive immunity (humoral and cellular) in detail from their development to effector stages.  In the last section of the course we will discuss some key aspects of immune system function including immunological memory and vaccination, immunological tolerance and its failure (autoimmunity/allergy), and mucosal immunology and the microbiome.  Students will present primary articles related to the topics discussed in class in a weekly discussion section.  The course will be graded on class participation, quizzes, a midterm, and a final essay-based exam.",Cathryn Nagler,Autumn,BIOS 20186 or BIOS 20234 (or equivalent undergraduate coursework with the permission of the instructor),
MENG 23210,Thousands of microbes colonize the human body to collectively establish the human microbiota. Research findings over the past two decades have led to a growing appreciation of the importance of the microbiota in various facets of human health. This course will explore the human microbiota through a critical review of the primary scientific literature. The first portion of the course will cover distinct ways by which the human microbiota impacts mammalian health. The second part of the course will focus on established and developing microbiota-targeting biotechnologies. Students will leave the course with a general understanding of the current state of human microbiota research and its therapeutic and diagnostic applications.,"S. Light, M. Mimee",Winter,"Three quarters of a Biological Sciences Fundamentals Sequence. Third or fourth year standing or consent of instructor.  
Note(s): GP.",
MENG 23300,"The science of immunology was born at the end of the 19th century as a discipline focused on the body's defenses against infection. The following 120+ years has led to the discovery of a myriad of cellular and molecular players in immunity, placing the immune system alongside the most complex systems such as Earth's global climate and the human brain. The functions and malfunctions of the immune system have been implicated in virtually all human diseases. It is thought that cracking the complexity of the immune system will help manipulate and engineer it against some of the most vexing diseases of our times such as AIDS and cancer. To tackle this complexity, immunology in the 21st century - similar to much of the biological sciences - is growing closer to mathematics and data sciences, physics, chemistry and engineering. A central challenge is to use the wealth of large datasets generated by modern day measurement tools in biology to create knowledge, and ultimately predictive models of how the immune system works and can be manipulated. The goal of this course is to introduce motivated students to the quantitative approaches and reasoning applied to fundamental questions in immunology.",Nicolas Chevrier,Winter,"Completion of the first two quarters of a Biological Sciences Fundamentals Sequence. Knowledge of R is recommended but not required. Courses in immunology and microbiology are an advantage but not required (e.g., BIOS 25256 Immunobiology; BIOS 25206 Fundamentals of Bacterial Physiology).
Note(s): CB",
MENG 23310,"The goal of this laboratory course is to provide students with an original and hands-on research experience in the fields of immunoengineering and synthetic immunology, whereby new molecules will be designed and tested by students in the lab to probe or control immune processes.  Specifically, students will study how newly discovered cancer vaccines work.  The course will cover wet lab techniques to manipulate and analyze DNA, proteins, and cells, including next-generation sequencing, genome editing, cellular imaging, and nanobodies.  In addition, computational tools will be used for processing and analyzing the data generated by students during class.  The outcome of students' research during this class will help decipher the inner workings of successful anti-tumor vaccines, which is important to inform future cancer immunotherapies",Nicolas Chevrier,Autumn,Completion of the first two quarters of a Biological Sciences Fundamentals Sequence.  Prior molecular and cellular biology wet lab work experience is an advantage but not required.,
MENG 23330,"This course presents essential concepts in genomic data science and trains students to apply the concepts in immunological contexts. The course encourages students to think independently about genomic analyses. Students will gain an understanding of how to use basic statistics, linear algebra, and computation to explore, analyze, and interpret published RNA-sequencing data (bulk and single-cell) and immune-cell receptor sequencing data. Student performance will be assessed through in-class discussions, take-home assignments and exams, and an end-of-term final project of the student's choice.","Samantha Riesenfeld, Joshua Weinstein",Spring,"Basic programming skills in R or Python, including control structures, data loading and saving, creating basic plots, and working with data frames. Basic molecular biology, including the central dogma. 
Note(s): This course is required for, but not limited to, the Computational and Systems Immunology PhD track in Immunology.",
MENG 23500,"The objective of this course is to provide an overview of the fundamentals of synthetic biology by exploration of published and primary literature. Synthetic biology is an interdisciplinary area that involves the application of engineering principles to biology. It aims at the (re-)design and fabrication of biological components and systems that do not already exist in the natural world. Our goal in the course will be to examine how to apply design principles to biological systems. This will require understanding how biological systems operate, what design principles are successful in biology, and a survey of current approaches in the field to tackle these challenges. Topics will include genetic manipulation, pathway engineering, protein design, cellular engineering, and tools for information input and output in biological systems.",Aaron Esser-Kahn,Spring,"Completion of the first two quarters of a Biological Sciences Fundamentals Sequence. MENG 21500, BIOS 20236, and BIOS 20200 are recommended but not required.",
MENG 23510,"Precision control of fluids at the micrometer scale (hence microfluidics) provides unprecedented capabilities in manipulation and analysis of cells and proteins. Moreover, fluids and particles behave in fundamentally different ways when confined to small dimensions, making microfluidics an interesting topic of basic research. This course aims to provide students with theoretical knowledge and practical skills on the use of microfluidics for the manipulation and analysis of physical, chemical, and biological systems. We will first survey theoretical concepts regarding microfluidics. We will then focus on design considerations and fabrication methods for multi-layer microfluidic chips using PDMS soft-lithography. We will learn how to fabricate, multiplex, and control PDMS membrane valves and integrate them into high-throughput analytical systems. We will survey recent developments in microfluidics and its scientific and industrial applications. Biological systems analysis in cell sorting, culture, cell signaling, single molecule detection, digital nucleic acid and protein quantification, and biosensing are some of the applications we will cover. This course will have a laboratory component where students will design, fabricate, and use microfluidic devices and therefore acquire hands-on skills in microfluidic engineering.",Savas Tay,Spring,"MATH 13300 (or higher), or MATH 13200 (or higher) plus BIOS 20151 or BIOS 20152 or BIOS 20236",
MENG 24100,"This course addresses the thermodynamics of mixtures and their phase equilibria (e.g., vapor-liquid, liquid-liquid, and solid-liquid equilibria). It includes an introduction to the theory of phase equilibria and stability for mixtures, the concepts of activity and fugacity for describing non-ideal systems, an introduction to molecular models and the prediction of thermodynamic properties from such models, as well as the importance of such topics for engineering applications including separation processes such as distillation, extraction, and membrane osmosis. The course has a laboratory component that includes characterizing vapor-liquid equilibria in distillation processes, experimentation with surface adsorption, and measurements of solubility. (Lab)",Chibueze Amanchukwu,Autumn,,
MENG 24200,"This course will cover topics related to fluid flow and convective mass and heat transport relevant to describing chemical and biological systems. First, students learn how bulk fluid flow (velocity) is related to the transport of momentum through the application of the Navier-Stokes equation and boundary conditions. Second, fluid flow is described to understand the role of viscous forces on the formation of boundary layers near surfaces. The primary focus is on the laminar flow of Newtonian fluids, but relevant conditions leading to turbulent flow are touched upon. Standard examples such as Poiseuille flow, falling films, and flow around a sphere are covered. Third, the concepts of bulk fluid flow and boundary layer are extended to describe convective mass (concentration) and heat (temperature) transport processes. Students learn how fluid motion contributes to the flux of chemical species and the transfer of heat. Lastly, the course has a laboratory component that reinforces fundamental concepts covered in the lectures. Laboratory exercises include measurement of viscosity, Hagen-Poiseuille flow in tubes, and fabrication and assembly of microfluidic devices.",Shrayesh Patel,Winter,,
MENG 24300,"This course will introduce students to the methods of quantum and classical molecular modeling and simulation. The course will be delivered primarily through project-based learning using popular quantum mechanical (e.g., Quantum Espresso) and classical mechanical (e.g., Gromacs, LAMMPS) simulation packages. Students will also develop proficiency in the command line interface and shell scripting. The course will prioritize the physical principles underlying the methods to confer an understanding of their applicability and limitations, and hands-on immersive praxis to give students the confidence and expertise to independently use these tools.",Andrew Ferguson,Spring,,
MENG 24400,"This course introduces the fundamental concepts of reaction kinetics, from the molecular mechanisms and reaction rates of chemical reactions to its applied aspects in the reaction engineering of complex chemical systems. Course topics will include elementary reactions and rate laws, collision theory, transition state theory, reaction dynamics, complex reacting systems, the steady-state hypothesis, heterogeneous catalysis, and diffusion-limited systems. The course will draw upon examples of industrial-scale chemical processes to consider the impact of kinetics on the engineering of batch and continuous-flow reactors.",Xiaoying Liu,Spring,,
MENG 25100,"This course introduces the basics of polymer materials and their behavior and properties. The course will cover a general overview to polymers, basic terminology and definitions, their classification, and their applications. The mechanistic and kinetic behavior of the major classes of polymerization reactions (step-growth, chain addition, and ""living"" polymerizations) will be introduced with respect to control over polymer structure/architecture, size, and properties. The course will also discuss polymer properties, polymer thermodynamics, and basic structure-property relationships that provide polymers with their unique characteristics compared to small molecules. Techniques for characterizing the chemical and physical properties of polymer solutions will be introduced, including osmometry, viscometry, and gel permeation chromatography.",Paul Nealey,Autumn,MENG 21400 or CHEM 26200 or PHYS 27900,
MENG 25110,"This course introduces the most important polymerization reactions, focusing on their reaction mechanisms and kinetic aspects. Topics include free radical and ionic chain polymerization, step-growth polymerization, ring-opening, insertion, controlled living polymerization, crosslinking, copolymerization, and chemical modification of preformed polymers.",Stuart Rowan,Winter,CHEM 22000 and CHEM 22100,
MENG 25120,"This course is an advanced introduction to polymer physics taught at a level suitable for senior undergraduates and graduate students in STEM fields. Topics that will be covered include the statistics and conformations of linear chain molecules; polymer brushes; thermodynamics and dynamics of polymers, polymer blends and polymer solutions; phase equilibria; networks, gels, and rubber elasticity; linear viscoelasticity; and thermal and mechanical properties.",Paul Nealey,Spring,MENG 25100,
MENG 25130,"The goal of this course is to train students in the fundamental experimental approaches to polymer and soft materials characterization. The course will cover both the theory and practice of techniques focused on three themes: molar mass determination (size exclusion chromatography, laser light scattering, NMR spectroscopy); morphology and structure (x-ray scattering, electron microscopy, atomic force microscopy); and thermo-mechanical properties (calorimetry, thermogravimetry, dynamic mechanical analysis, rheometry, tensile testing). Contextual application of these characterization techniques to modern research problems will be introduced. Through this course, students will develop foundational experimental skills necessary for addressing research challenges in modern polymer and soft materials science and engineering.",Philip Griffin,Winter,MENG 25100,
MENG 25140,"In this course, students will learn the fundamental principles of the functional properties of polymers that enable their use in electronics, photonics and energy technology. The topics mainly include electron and ion transport properties, relationships between chemical structures and energy band structures, photo-excitation properties, luminescent properties, thermoelectric property, ferroelectric and ferromagnetic properties, as well as the associated device categories of organic field-effect transistors, organic light-emitting diodes, lasers, electrochromic devices, photovoltaic cells, and photodetectors.",Sihong Wang,Spring,"MENG 25100 (or MENG 35100), AND CHEM 22000 and CHEM 22100",
MENG 25220,"We will focus on understanding and analyzing food as soft matter and molecular gastronomy: the physicochemical basis for designing foods. Imagine bread, butter, wine, cheese, ice cream, chocolates, mayo, frothy beers, milk, yogurt, sushi, meats, cotton candy, burgers, fondue, chips, cookies, cakes, and champagne. We will study the science of cooking and molecular gastronomy, food production, processing, and consumption by highlighting concepts from statistical thermodynamics, macromolecular  and soft matter physics, interfacial science, fluid mechanics and rheology (science of deformation & flow). Many food materials are rheologically-complex fluids that can be modeled as multicomponent colloidal dispersions with a continuous liquid phase containing dispersed proteins, polysaccharides, drops, bubbles, particles, and self-assembled structures (like micelles). We will discuss the influence of the dispersed and the continuous phases and of ingredients like salt, sugar, fat, animal proteins, and gluten on stability, microstructure, rheology, and heuristic properties like dispensing behavior, stickiness, thickening, stringiness, softness, creaminess, mouthfeel, texture, foamability, and chewability. Significant emphasis will be on understanding current foods to develop the roadmap for sustainable, cost-effective, healthier, and tasteful alternatives, including meat and dairy alternatives with plant-based ingredients.",Vivek Sharma,Spring,"MATH 18500 and MENG 21400 and MENG 21500, or equivalents",
MENG 25300,"This course will cover the properties of the water molecule, hydrogen bonding, clusters, supercritical water, condensed phases, solutions, confined and interfacial water, clathrates, and nucleation. In addition, methods of water purification, water splitting and fuel cells, water in atmospheric and climate science, and water in biology, health and medicine will be discussed.",Chong Liu,Autumn,MENG 21400 or CHEM 26200 or PHYS 27900 (or concurrent),
MENG 25310,"Addressing the challenges of a sustainable energy future requires a foundational knowledge of current and emerging energy conversion and storage technologies. Energy conversion devices such as solar cells and fuel cells to energy storage systems such as lithium-ion batteries and redox-flow batteries will be covered. Devices related to carbon capture and conversion in addition to 'green fuels' will be introduced as well. Applying basic principles of chemistry, thermodynamics, and transport phenomena, this course will provide a deep understanding of the operational mechanisms, resources, and material properties of each device and the synergies between them.",Chibueze Amanchukwu,Winter,MENG 21400 (or CHEM 26200 or PHYS 27900) AND MENG 21500,
MENG 25320,"This course will cover topics related to basic electrochemical principles, methodologies, and systems. In particular, students will be given an overview of fundamental concepts related to electrochemical potential, electric double layer, electrode kinetics, and mass transport processes. In addition, the application of key electrochemical experimental methods will be covered. A few examples include cyclic voltammetry, AC impedance spectroscopy, and the rotating disk electrode. Throughout the course, students will apply basics principles of thermodynamics, kinetics, and transport phenomena. Lastly, a brief overview of traditional electrochemical systems and emerging technologies related to energy storage and conversion (e.g., lithium-ion batteries, flow batteries, and fuel cells) and bioelectronics applications will be discussed.",Shrayesh Patel,Spring,MENG 21400 (or CHEM 26200 or PHYS 27900) and MENG 21500,
MENG 25330,"The development of new materials, as well as understanding the materials' structure and dynamics, are at the heart of addressing the challenges in energy and water technologies. This course will introduce students to the design and development of advanced functional materials that enable energy and water related technologies. The importance of all classes of materials spanning metals, alloys, ceramics, polymers, glasses, and their combinations as composite materials will be covered. To understand material properties and function, students will learn about essential characterization tools including microscopy, spectroscopy and mechanical testing techniques. In addition, the course will convey the importance of advanced characterization tools available at X-ray and neutron facilities that are essential in revealing unique physical properties.",Junhong Chen,Spring,MENG 21400 (or CHEM 26200 or PHYS 27900),
MENG 25500,"This course will introduce students to the methods of molecular modeling. The topics covered will include an introduction to the origin of molecular forces, a brief introduction to statistical mechanics and ensemble methods, and an introduction to molecular dynamics and Monte Carlo simulations. The course will also cover elements of advanced sampling techniques, including parallel tempering, umbrella sampling, and other common biased sampling approaches. Students will also establish expertise in scientific programming in Python 3.",Andrew Ferguson,Winter,"MENG 21400 or CHEM 26200 or PHYS 27900, AND MATH 20100 or PHYS 22100.  MENG 21300, or prior course work or research experience with elementary programming, is strongly recommended.",
MENG 25510,"Quantum mechanical methods, including quantum chemistry, density functional theory (DFT), and many body perturbation theory, for simulating the properties of molecules and materials will be explored in this course. Numerical algorithms and techniques will be introduced that allow for solution of approximate forms of the Schroedinger and Boltzmann Equations that model structural and transport properties of molecules and materials. The coupling of DFT with molecular dynamics will be detailed for determining finite temperature properties. Coupling of DFT with spin Hamiltonians to study dynamical spin correlations in materials will also be described. Examples of the application of quantum mechanical methods to materials for energy conversion and quantum information technologies will be provided.","Laura Gagliardi,Giulia Galli",Spring,MENG 21300 or CHEM 26100 or PHYS 23400 or instructor consent,
MENG 25610,"This course provides hands-on practical training in scientific computing with a focus on applications to molecular engineering. The first third of the course will provide training in core programming concepts, including a broad introduction to Python programming and use of key scientific libraries. The second third of the course will cover advanced programming topics in CPU and GPU parallel programming and quantum computing, exploring their use through practical examples drawn from a range of scientific and engineering disciplines. The final portion of the class will engage particular applications in computational molecular engineering, including electronic structure calculations of molecules and materials, highlighting the use of modern computing platforms to enable modeling of complex phenomena at unprecedented scales. Students will develop proficiency in making effective use of the diverse landscape of programming models, open-source tools, and computing architectures for high performance computing. Hands-on immersive praxis, mostly using electronic notebooks, will introduce students to the efficient use of several computational resources such as pre-exascale and quantum computers, with the goal of providing them with the confidence and expertise to independently use these tools.",Marco Govoni,Spring,Prior programming experience and familiarity with Linux/bash are useful but not required. Prior coursework in quantum mechanics is useful but not required.,
MENG 25620,"Machine learning and other artificial intelligence tools are quickly becoming commonplace in the computational design of materials.  This course is intended to introduce the concepts and practical skills needed to employ machine learning techniques across many areas of computational materials science.  The course will cover topics including the management of materials data, the creation of surrogate models for costly computations, building predictive models for material properties without known physical models, and using AI to enhance characterization tools. The content of the course will focus both on the theoretical underpinnings of these technologies, as well as the practical skills needed for successful use of AI in an applied setting. Particular application areas include machine learning tools for atomistic simulations, convolutional neural networks for materials image analysis, Bayesian techniques for material property estimation, and generative methods for molecular design.",Logan Ward,Winter,Familiarity in object-oriented programming in Python is preferred. Prior coursework or experience in machine learning is recommended but not required.,
MENG 25630,"The course will cover the scientific background needed to design and optimize advanced materials for scalable synthesis. We will introduce the physics-based understanding needed to simulate the non-equilibrium conditions in reacting gas-phase and complex fluids. The course will use in situ measurement data for validation and acceleration of simulations will allow students to experiment and build the conceptual connections to the background theories and simulations. In particular, we will cover examples of scalable material synthesis such as gas-phase combustion synthesis of lithium ion battery materials, atomic layer deposition (ALD) for porous membranes and coatings, Taylor Vortex Reactors (TVR) for the synthesis of industrial catalysts, additive manufacturing of metals using laser sintering, and microfluidic continuous flow reactors for the synthesis of organic crystals for pharmaceutical applications. Data generated using sensors, imaging cameras, spectroscopic probes, and Argonne APS measurements will be combined with machine-learning approaches for decision making, process optimization and steering of synthesis conditions. This course will include optional hands-on sessions at the Argonne National Laboratory's Materials Engineering and Research Facility, and allow the students to leverage the Manufacturing Data and Machine Learning (MDML) platform and Argonne Leadership Computing Facility (ALCF) supercomputing environment for physics based simulations.",Santanu Chaudhuri,Spring,"MENG 21400 or CHEM 26200 or PHYS 27900, MENG 24200, and MENG 24400 or CHEM 26300.  Some background in a programming language like C, C++ or python, databases, and ability to launch computing jobs in Linux environment is preferred",
MENG 26200,"The QuantumLab course is an advanced laboratory course where students gain experience in a broad range of quantum technologies and instrumentation. The experiments reflect current research directions of quantum science and the University of Chicago's quantum program. Students will perform these experiments in small groups and study quantum effects in different quantum systems, including photons, cold atoms, quantum circuits and materials, and defect-centers. Furthermore, participants will acquire experience in instrumentation, electronics, optics, data taking and analysis.","Hannes Bernien, Alex High","Autumn
Spring
Winter",,
MENG 26300,"This is an advanced course in electromagnetism with an engineering focus. Requires good preparation in freshman-level, calculus-based, electrostatics and magnetostatics; also preparation in vector calculus.",Andrew Cleland,Spring,,
MENG 26400,"This course provides an introduction to the fundamentals of quantum information to students who have not had training in quantum computing or quantum information theory. Some knowledge of linear algebra is expected, including matrix multiplication, matrix inversion, and eigenvector-eigenvalue problems. Students will learn how to carry out calculations and gain a fundamental grasp of topics that will include some or all of: entanglement, teleportation, quantum algorithms, cryptography, and error correction.",Andrew Cleland,Winter,MATH 19620 or PHYS 22100 or equivalent,
MENG 26500,"Quantum optics seeks to illuminate the fundamental quantum mechanics of the interaction of light and matter. These principles can form the basis for quantum technologies in areas such as cryptography, computation, and metrology. This course provides a foundation in the fundamental principles and applications of quantum optics. Topics to be discussed may include Fermi's Golden Rule, interaction of two-level atoms and light, spontaneous emission, Rabi oscillations, classical and non-classical photon statistics, beam splitters, atom cavity interaction, vacuum-Rabi splitting, coherence, entanglement, and teleportation. The course will assume that students are comfortable with single-particle quantum mechanics at the level of a typical introductory graduate-level course.",Alex High,Autumn,PHYS 23400-23500 strongly recommended but not required,
MENG 26510,"Electromagnetic radiation in the optical spectrum, or light, plays a fundamentally important role in modern physics and engineering.  This introductory course covers the basic properties of light, its propagation in and interactions with matter, and techniques for generating, guiding, and detecting light.  Photonic technologies including lasers, optical fibers, integrated optics, optoelectronic devices, and optical modulators will be introduced with selected demonstrations of real-world devices.",Tian Zhong,Winter,,
MENG 26600,"This is a one-quarter introductory course on the science and engineering of electronic and quantum materials. The intended audience is upper-level undergraduate students and first-year graduate students in Molecular Engineering and other related fields, including Chemistry and Physics. We will learn the basics of electrical and optical properties of electronic materials, including semiconductors, metals, and insulators starting from a simple band picture, and will discuss how these materials enable modern electronic and optoelectronic devices and circuitry. We will also explore the modern synthesis techniques for these materials and the effects of reduced dimensions and emergent quantum properties. No comprehensive exposure to quantum mechanics, thermodynamics, or advanced mathematical skills will be assumed, even though working knowledge of these topics will be helpful.",Jiwoong Park,Spring,CHEM 26200 or PHYS 23500 or instructor consent,
MENG 26610,"This is a course covering the principles behind both traditional electronic materials and quantum materials, and connecting the knowledge to various modern applications. It covers basic topics such as Bravais lattice, real and reciprocal space, band theory, classification of materials, physical properties of metals, semiconductors, and insulators. Quantum materials including superconductors, topological materials, and quantum defects will be introduced.",Shuolong Yang,Spring,,
MENG 26620,"This course covers the fundamental concepts needed to understand nanoelectronic solid state semiconductor devices. After an overview of the basic properties of semiconductors and electronic transport in semiconductors, we will explore the device physics behind some of the major semiconductor devices that have changed our lives.  These include the p-n junction diode, the metal-oxide-semiconductor transistor (MOSFET), the photovoltaics cell (solar cell), the semiconductor light emitting diode (LED) and injection laser, dynamic random access memory (DRAM), and Flash memory.  These devices collectively form the backbone behind all computing, communications, and sensing systems used today.",Supratik Guha,Autumn,MENG 21300 (or PHYS 23500 or CHEM 26100) or PHYS 22700 or PHYS 23600,
MENG 26630,"This course will cover the fundamentals of nanofabrication from a practical viewpoint and will be useful for students planning to pursue research involving semiconductor processing technology, as well as broader topics such as microelectromechanical systems (MEMS), quantum devices, optoelectronics, and microfluidics. This course will cover the theory and practice of lithographic patterning; physical and chemical vapor deposition; reactive plasma etching; wet chemical processing; characterization techniques; and other special topics related to state-of-the-art processes used in the research and development of nanoscale devices. A solid grounding in introductory chemistry and physics is expected.",Andrew Cleland,Spring,"PHYS 13300 and CHEM 10200, or equivalent",
MENG 27300,"This course aims to provide students with a knowledge of state-of-the-art experimental measurement techniques and laboratory instrumentation for applications in broad scientific research environments, as well as industrial and general engineering practice. Topics include atomic-scale structural and imaging methods, electronic transport in low dimensional matter, magnetic and optical characterization of materials. Basic concepts in electronic measurement such as lock-in amplifiers, spectrum and network analysis, noise reduction techniques, cryogenics, thermometry, vacuum technology, as well as statistical analysis and fitting of data will also be discussed.",David Awschalom,Spring,,
MENG 29700,"PME faculty offer one-quarter research experiences for credit for interested students in the form of this Reading and Research (R & R) course. Students are expected to initiate and develop the research opportunities themselves. A quality grade will be given based on performance in this course. In order to assign a quality grade, an agreement between the sponsoring PME faculty member and each student will be made that includes: (1) the content and scope of the project, (2) expectations for time commitment, (3) a well-defined work plan with timelines for particular experiments or calculations to be accomplished, and (4) a summary of academic goals such as demonstrating knowledge of the literature and developing communication skills (e.g., through presentations at group meetings).",PME Faculty,"Autumn
Spring
Winter",,
MUSI 10100,"This one-quarter course is designed to enrich the listening experience of students, particularly with respect to the art music of the Western European and American concert tradition. Students are introduced to the basic elements of music and the ways that they are integrated to create works in various styles. Particular emphasis is placed on musical form and on the potential for music to refer to and interact with aspects of the world outside.",,,,
MUSI 10200,"This course is a selected survey of classical, popular, and folk music traditions from around the world. The goals are not only to expand our skills as listeners but also to redefine what we consider music to be and, in the process, stimulate a fresh approach to our own diverse musical traditions. In addition, the role of music as ritual, aesthetic experience, mode of communication, and artistic expression is explored.",,"Autumn
Spring
Winter
Note(s): Background in music not required. Students must confirm enrollment by attending one of the first two sessions of class. This course meets the general education requirement in the arts.",,
MUSI 10300,"This introductory course in music is intended for students who are interested in exploring the language, interpretation, and meaning of music through coordinated listening, analysis, and creative work. By listening to and comprehending the structural and aesthetic considerations behind significant written and improvised works, from the earliest examples of notated Western music to the music of living composers and performers, students will be prepared to undertake analytical and ultimately creative projects. The relationship between cultural and historical practices and the creation and reception of music will also be considered. The course is taught by a practicing composer, whose experience will guide and inform the works studied. No prior background in music is required.",,,,
MUSI 10400,"This course aims to develop students' analytical and critical tools by focusing on a select group of works drawn from the Western European and American concert tradition. The texts for the course are recordings. Through listening, written assignments, and class discussion, we explore topics such as compositional strategy, conditions of musical performance, interactions between music and text, and the relationship between music and ideology as they are manifested in complete compositions.",,,,
MUSI 10500,"This course, designed for instrumentalist, singers, and practicing musicians from all musical backgrounds, combines an active workshop in contemporary music-making with studies of historical traditions of performance and theories of performativity. In addition to learning about social and cultural dimensions of performance, different styles of performers, and aspects of aesthetics, technique, dramaturgy, and improvisation, students will acquire practical experience showcasing new musical and theoretical skills.",,,,
HIST 12002,"Violence and conflict are dominant themes of medieval and early modern European history. This course will introduce students to the wide variety of perspectives with which one can approach violence in its western European context from 500 to 1550. Students will not only analyze and evaluate the historiographic and methodological contributions made by the existing scholarship on violence, but also have the opportunity to explore and evaluate various sources for the study of violence. The course itself will be organized around chronological, thematic, and regional lines of investigation ranging from Merovingian France to Early Modern Scotland. Guiding this class will be a broader methodological discussion on the relative merits and demerits of different approaches to studying violence's role in pre-modern societies and politics and how they continue to influence contemporary perceptions of violence, past and present.",T. Sharp,Autumn,,
MUSI 12101,"This course, part of the Social Sciences Civ core, looks at musics in different moments of Euro-American history and the social contexts in which they originated, with some comparative views on other world traditions. It aims to give students a better understanding of the social contexts of European music over this period; aids for the basic sound structures of pieces from these different moments; and convincing writing in response to prompts based on source readings or music pieces. Our first quarter (MUS 12101 etc.) spans roughly the period between Charlemagne's coronation as Holy Roman Emperor (800 CE) and the dissolution of the Empire (1806) with the triumph of Napoleon across Western Europe.",Anne Robertson,"Autumn
Note(s): Prior music course or ability to read music not required. Students must confirm enrollment by attending one of the first two sessions of class. This two-quarter sequence meets the general education requirement in civilization studies; it does not meet the general education requirement in the arts.

Please note that MUSI 12101-12201 will not be offered on campus in 2023-24. The sequence will be offered in Paris through Study Abroad in Autumn 2023. Information about the Paris offering is available here: https://study-abroad.uchicago.edu/paris-music-western-civilization. Students who have not taken MUSI 12101 should be aware that the course will not be offered on campus until Autumn 2024.
Instructor(s)",,
MUSI 12200,"This course, part of the Social Sciences Civ core, looks at musics in different moments of Euro-American history and the social contexts in which they originated, with some comparative views on other world traditions.  It aims to give students a better understanding of the social contexts of European music over this period; aids for the basic sound structures of pieces from these different moments; and convincing writing in response to prompts based on source readings or music pieces.  Our second quarter (MUS 12200 etc.) runs from the beginning of European Romanticism around 1800 to the turn of the 21st century.",,"Winter
Note(s): Prior music course or ability to read music not required. Students must confirm enrollment by attending one of the first two sessions of class. This two-quarter sequence meets the general education requirement in civilization studies; it does not meet the general education requirement in the arts.

Please note that MUSI 12100-12200 will not be offered on campus in 2023-24. The sequence will be offered in Paris through Study Abroad in Autumn 2023. Information about the Paris offering is available here: https://study-abroad.uchicago.edu/paris-music-western-civilization. Students who have not taken MUSI 12100 should be aware that the course will not be offered on campus until Autumn 2024.",,
MUSI 12201,"This course, part of the Social Sciences Civ core, looks at musics in different moments of Euro-American history and the social contexts in which they originated, with some comparative views on other world traditions. It aims to give students a better understanding of the social contexts of European music over this period; aids for the basic sound structures of pieces from these different moments; and convincing writing in response to prompts based on source readings or music pieces. Our second quarter (MUS 12201 etc.) runs from the beginning of European Romanticism around 1800 to the turn of the 21st century.",R. Kendrick,"Winter
Note(s): Prior music course or ability to read music not required. Students must confirm enrollment by attending one of the first two sessions of class. This two-quarter sequence meets the general education requirement in civilization studies; it does not meet the general education requirement in the arts.

Please note that MUSI 12101-12201 will not be offered on campus in 2023-24. The sequence will be offered in Paris through Study Abroad in Autumn 2023. Information about the Paris offering is available here: https://study-abroad.uchicago.edu/paris-music-western-civilization. Students who have not taken MUSI 12101 should be aware that the course will not be offered on campus until Autumn 2024.",,
MUSI 12300,TBD,R. Kendrick,,,
MUSI 14300,"This one-quarter elective course covers the basic elements of music theory, including music reading, intervals, chords, meter, and rhythm.",,,,
MUSI 17000,"The University Chorus is the largest vocal ensemble on campus. Its season includes an annual production of Handel's Messiah as well as presentations of choral masterworks such as Berlioz's Roméo et Juliette, Beethoven's Symphony No. 9, and Verdi's Messa da requiem. Among its 80 to 100 members are undergraduates, graduates, faculty and staff members, and singers from the Hyde Park and University community: The result is a wonderfully diverse group of vocalists, collaborating in performances of monuments of the literature. The University Chorus presents three to four concerts per season, culminating in a festive year-end performance with the combined choirs and the University Symphony Orchestra.",J. Kallembach,,,
MUSI 17001,"As the premier undergraduate choral ensemble at the University of Chicago, the Motet Choir accepts 28-36 singers each year. Concentrating on a cappella masterworks of all periods, this polished vocal ensemble specializes in music of the Renaissance and also performs historically and culturally diverse repertoire ranging from Gregorian chant to gospel standards. The Motet Choir presents at least three major concerts per year (one each quarter) and sings at convocations and special events on campus and throughout the Chicago area. The ensemble goes on tour every second year, often during the University's spring break.",J. Kallembach,,,
